Age,Sex,Employment_Type,Monthly_Income_INR,Existing_EMI_INR,CIBIL_Score,Loan_Amount_INR,Loan_Purpose,Housing_Type,Loan_Tenure_Months,Is_Default
33,male,Skilled Employee,42106,6854,771,92550,Consumer Durable Loan,Self-Owned,24,0
32,male,Highly Skilled,180093,47080,630,94000,Consumer Durable Loan,Self-Owned,18,0
27,male,Skilled Employee,88854,20414,778,399000,Business Loan,Rented,36,0
32,male,Skilled Employee,60607,20838,811,229150,Consumer Durable Loan,Self-Owned,30,0
26,female,Skilled Employee,77599,23264,850,69300,Vehicle Loan,Self-Owned,12,0
38,male,Skilled Employee,91920,21123,548,47350,Vehicle Loan,Family-Owned,24,0
40,male,Unskilled Resident,43529,8478,705,34200,Education Loan,Rented,12,0
50,male,Highly Skilled,125954,23699,562,373800,Education Loan,Family-Owned,48,0
37,male,Unskilled Resident,42856,17545,525,96100,Consumer Durable Loan,Self-Owned,12,1
45,male,Skilled Employee,42573,9495,731,115150,Vehicle Loan,Self-Owned,24,0
42,male,Highly Skilled,168344,58165,688,404300,Vehicle Loan,Self-Owned,36,0
35,male,Skilled Employee,75367,29634,743,117300,Vehicle Loan,Self-Owned,24,0
22,male,Skilled Employee,76801,25668,758,198650,Vehicle Loan,Family-Owned,14,0
41,male,Unskilled Resident,23428,9555,819,44400,Vehicle Loan,Self-Owned,12,0
37,male,Skilled Employee,74072,19830,724,511100,Consumer Durable Loan,Self-Owned,48,0
28,female,Skilled Employee,63752,27851,900,211050,Business Loan,Self-Owned,30,0
41,male,Skilled Employee,95029,18050,744,318050,Consumer Durable Loan,Self-Owned,18,0
23,male,Skilled Employee,57685,10420,867,64850,Consumer Durable Loan,Rented,12,0
23,male,Skilled Employee,91693,31873,533,45000,Vehicle Loan,Self-Owned,12,1
50,male,Skilled Employee,91203,39477,827,112050,Consumer Durable Loan,Self-Owned,21,1
35,male,Highly Skilled,145961,57313,705,52500,Consumer Durable Loan,Self-Owned,6,1
50,female,Unskilled Resident,23633,4086,564,52350,Education Loan,Self-Owned,6,1
27,male,Highly Skilled,166908,39024,753,315700,Personal Loan,Self-Owned,24,0
34,male,Skilled Employee,48996,21023,695,174800,Consumer Durable Loan,Self-Owned,30,0
27,female,Skilled Employee,56458,12754,766,180450,Business Loan,Self-Owned,48,0
43,male,Skilled Employee,96133,36948,800,242150,Vehicle Loan,Rented,12,0
47,male,Skilled Employee,71889,28578,600,150850,Consumer Durable Loan,Self-Owned,30,1
27,male,Unskilled Resident,41751,12468,801,206950,Business Loan,Self-Owned,24,0
31,male,Skilled Employee,66665,17726,720,287100,Business Loan,Self-Owned,36,0
42,male,Highly Skilled,128243,36554,828,518300,Vehicle Loan,Self-Owned,60,0
24,male,Skilled Employee,97384,21238,703,104000,Vehicle Loan,Self-Owned,6,0
41,male,Unskilled Resident,41657,17363,682,129000,Business Loan,Self-Owned,21,1
26,female,Highly Skilled,129952,37060,722,226500,Consumer Durable Loan,Rented,30,0
33,male,Skilled Employee,62180,25788,728,257500,Consumer Durable Loan,Self-Owned,24,0
24,male,Skilled Employee,71896,13064,666,279750,Consumer Durable Loan,Self-Owned,72,0
64,male,Unskilled Resident,38525,17200,680,119200,Consumer Durable Loan,Rented,24,0
26,female,Skilled Employee,52875,14962,621,72650,Consumer Durable Loan,Self-Owned,18,0
56,female,Skilled Employee,41622,6840,685,76900,Education Loan,Self-Owned,6,0
37,male,Skilled Employee,88756,14325,774,113950,Consumer Durable Loan,Family-Owned,12,0
33,male,Skilled Employee,80809,30211,709,73900,Consumer Durable Loan,Self-Owned,15,0
47,male,Skilled Employee,56725,19723,800,255150,Consumer Durable Loan,Family-Owned,24,0
31,male,Unskilled Resident,43628,17042,705,492850,Business Loan,Self-Owned,36,1
34,male,Skilled Employee,91226,16567,605,326350,Vehicle Loan,Family-Owned,60,0
27,male,Skilled Employee,80760,12975,767,67350,Consumer Durable Loan,Self-Owned,10,0
30,male,Skilled Employee,55646,16837,666,143100,Vehicle Loan,Family-Owned,36,0
35,male,Skilled Employee,57029,15185,701,137650,Consumer Durable Loan,Self-Owned,9,0
31,male,Skilled Employee,69402,20028,819,182550,Vehicle Loan,Self-Owned,12,0
25,male,Skilled Employee,44263,19806,627,48750,Consumer Durable Loan,Self-Owned,15,0
25,female,Unskilled Resident,40185,17730,733,131550,Home Renovation Loan,Self-Owned,15,1
29,male,Skilled Employee,70987,30715,716,144800,Consumer Durable Loan,Self-Owned,24,0
44,male,Unskilled Resident,29060,11192,776,235800,Vehicle Loan,Self-Owned,6,0
28,male,Skilled Employee,95288,24436,788,114200,Consumer Durable Loan,Self-Owned,24,0
50,male,Skilled Employee,87924,24059,741,61800,Vehicle Loan,Rented,6,0
29,male,Skilled Employee,48646,15317,691,55150,Consumer Durable Loan,Self-Owned,12,0
38,female,Unskilled,42529,16975,757,46300,Vehicle Loan,Self-Owned,12,1
24,male,Skilled Employee,99052,16899,826,90000,Consumer Durable Loan,Self-Owned,18,0
40,male,Highly Skilled,101664,28190,717,95250,Education Loan,Rented,15,0
29,female,Unskilled Resident,17969,3140,698,56150,Consumer Durable Loan,Rented,12,0
46,male,Skilled Employee,75796,23072,751,316550,Vehicle Loan,Family-Owned,48,0
47,female,Skilled Employee,64027,26870,723,68850,Consumer Durable Loan,Family-Owned,24,1
41,male,Skilled Employee,69373,26690,612,125150,Business Loan,Self-Owned,30,1
32,female,Skilled Employee,91833,20051,739,126400,Business Loan,Self-Owned,27,0
35,female,Skilled Employee,76397,33828,612,266200,Vehicle Loan,Family-Owned,15,1
24,male,Skilled Employee,60609,21225,749,328000,Vehicle Loan,Self-Owned,48,1
25,female,Skilled Employee,75835,11612,656,148450,Consumer Durable Loan,Rented,12,0
25,female,Skilled Employee,78709,17837,722,60300,Consumer Durable Loan,Self-Owned,9,0
37,male,Unskilled Resident,32770,7478,751,105900,Consumer Durable Loan,Self-Owned,9,0
32,male,Highly Skilled,151120,25807,900,31450,Consumer Durable Loan,Self-Owned,18,0
35,female,Skilled Employee,59250,25948,779,59900,Education Loan,Family-Owned,6,0
46,male,Highly Skilled,111172,32626,829,123800,Vehicle Loan,Self-Owned,21,0
25,male,Unskilled Resident,26555,11119,869,56900,Consumer Durable Loan,Self-Owned,9,0
27,male,Highly Skilled,177410,43760,759,701350,Vehicle Loan,Self-Owned,60,0
63,male,Skilled Employee,53081,9956,742,379800,Vehicle Loan,Self-Owned,30,0
40,male,Skilled Employee,93276,27264,634,153850,Consumer Durable Loan,Self-Owned,30,1
32,male,Highly Skilled,147492,27166,710,75250,Consumer Durable Loan,Family-Owned,18,0
31,male,Skilled Employee,93002,27510,662,157400,Consumer Durable Loan,Self-Owned,24,0
31,male,Skilled Employee,94567,40293,687,307400,Vehicle Loan,Self-Owned,20,1
34,male,Highly Skilled,179599,54998,869,66850,Consumer Durable Loan,Self-Owned,9,1
24,female,Skilled Employee,46819,15682,729,21650,Education Loan,Rented,6,0
24,female,Unskilled Resident,40712,8019,649,61400,Vehicle Loan,Self-Owned,12,1
66,female,Unskilled Resident,39762,6486,829,39500,Consumer Durable Loan,Self-Owned,9,1
21,female,Skilled Employee,51046,9353,796,128500,Vehicle Loan,Rented,27,0
41,female,Unskilled Resident,40826,13454,800,12500,Vehicle Loan,Self-Owned,6,0
47,male,Unskilled Resident,32717,5840,559,65800,Consumer Durable Loan,Self-Owned,15,1
25,female,Skilled Employee,68769,18072,875,94100,Consumer Durable Loan,Rented,18,0
59,female,Skilled Employee,93302,29392,675,320800,Business Loan,Rented,48,0
36,male,Skilled Employee,63150,16835,782,63750,Business Loan,Self-Owned,24,0
33,male,Skilled Employee,42711,8503,900,320150,Consumer Durable Loan,Self-Owned,24,0
21,male,Unskilled Resident,19853,4608,892,99350,Consumer Durable Loan,Rented,24,0
44,female,Unskilled Resident,44077,18886,641,38000,Consumer Durable Loan,Self-Owned,8,1
28,female,Skilled Employee,95364,33643,604,130150,Vehicle Loan,Rented,24,1
37,female,Skilled Employee,63863,19083,834,169000,Vehicle Loan,Self-Owned,4,0
29,female,Unskilled,36792,5659,731,199500,Personal Loan,Self-Owned,36,0
23,female,Highly Skilled,149129,66768,679,578000,Vehicle Loan,Rented,24,0
35,male,Unskilled Resident,22715,7982,769,219000,Vehicle Loan,Self-Owned,18,1
45,male,Highly Skilled,164478,40309,706,338050,Vehicle Loan,Self-Owned,6,0
26,female,Unskilled Resident,30507,12623,776,214000,Business Loan,Rented,30,1
32,male,Skilled Employee,88594,20157,725,116250,Vehicle Loan,Self-Owned,24,0
23,male,Unskilled Resident,16762,5249,777,52400,Consumer Durable Loan,Self-Owned,10,0
41,male,Skilled Employee,71987,24534,648,158000,Consumer Durable Loan,Self-Owned,21,1
22,male,Skilled Employee,55850,12081,833,124150,Consumer Durable Loan,Self-Owned,24,0
30,male,Highly Skilled,102112,45288,775,708950,Consumer Durable Loan,Self-Owned,39,0
28,male,Unskilled Resident,38485,14410,771,89850,Business Loan,Self-Owned,13,0
23,female,Skilled Employee,64058,20328,630,125550,Vehicle Loan,Rented,15,0
37,female,Unskilled Resident,27652,5645,855,63700,Vehicle Loan,Self-Owned,12,0
26,male,Skilled Employee,78890,13108,718,262400,Vehicle Loan,Self-Owned,21,0
33,male,Skilled Employee,40481,9959,778,151450,Vehicle Loan,Self-Owned,15,0
49,female,Skilled Employee,87304,32822,694,21400,Consumer Durable Loan,Self-Owned,6,0
23,female,Unskilled Resident,15153,3497,740,48800,Vehicle Loan,Self-Owned,18,0
23,female,Unskilled Resident,22617,7053,743,42050,Business Loan,Rented,12,0
25,female,Skilled Employee,41524,15296,494,288550,Consumer Durable Loan,Self-Owned,30,1
55,male,Skilled Employee,74888,13658,766,77750,Home Renovation Loan,Family-Owned,12,0
32,female,Skilled Employee,55048,19574,877,64250,Vehicle Loan,Rented,24,0
74,male,Unskilled,17343,3079,763,64950,Vehicle Loan,Self-Owned,6,0
39,male,Skilled Employee,77904,34241,643,63550,Consumer Durable Loan,Family-Owned,15,1
31,male,Skilled Employee,94912,28143,771,69650,Vehicle Loan,Self-Owned,24,0
35,male,Skilled Employee,74008,14446,804,34550,Vehicle Loan,Self-Owned,12,0
59,female,Skilled Employee,40060,10123,760,252250,Vehicle Loan,Self-Owned,15,0
24,female,Skilled Employee,49130,13462,714,106200,Consumer Durable Loan,Rented,18,0
24,male,Unskilled Resident,33023,12464,700,110700,Consumer Durable Loan,Self-Owned,12,1
30,male,Highly Skilled,145337,54214,700,634000,Vehicle Loan,Family-Owned,21,0
27,male,Skilled Employee,85080,28381,775,123150,Vehicle Loan,Self-Owned,24,0
40,male,Unskilled Resident,28350,5153,607,57750,Consumer Durable Loan,Self-Owned,12,1
31,male,Unskilled Resident,39354,7692,690,155400,Consumer Durable Loan,Self-Owned,30,0
31,female,Skilled Employee,85186,15173,847,145050,Vehicle Loan,Rented,10,0
28,male,Skilled Employee,68145,22021,850,180850,Consumer Durable Loan,Rented,12,0
63,male,Unskilled Resident,16252,6714,601,82750,Consumer Durable Loan,Self-Owned,12,0
26,female,Skilled Employee,60587,16972,629,140600,Vehicle Loan,Rented,24,0
25,female,Highly Skilled,196667,38990,698,403250,Education Loan,Self-Owned,36,0
36,male,Highly Skilled,165186,52432,791,163750,Vehicle Loan,Self-Owned,21,1
52,male,Skilled Employee,59933,23585,573,111150,Consumer Durable Loan,Self-Owned,24,1
66,male,Unskilled,35581,13254,715,74000,Vehicle Loan,Family-Owned,12,0
25,female,Skilled Employee,63393,26272,682,68550,Vehicle Loan,Rented,24,0
37,male,Skilled Employee,63051,14714,826,176750,Vehicle Loan,Self-Owned,36,0
25,female,Skilled Employee,91474,19043,585,175450,Consumer Durable Loan,Self-Owned,18,0
38,male,Highly Skilled,181748,75233,727,285550,Vehicle Loan,Self-Owned,36,0
67,female,Skilled Employee,89082,30935,688,193600,Home Renovation Loan,Self-Owned,18,0
25,male,Skilled Employee,44090,10726,837,246650,Consumer Durable Loan,Self-Owned,39,0
60,male,Skilled Employee,46960,17502,767,97000,Vehicle Loan,Self-Owned,24,0
31,male,Unskilled Resident,18004,7103,673,70500,Education Loan,Self-Owned,12,1
23,female,Unskilled Resident,36520,12215,788,41800,Vehicle Loan,Self-Owned,12,0
60,male,Highly Skilled,139481,49706,688,323400,Vehicle Loan,Self-Owned,20,1
35,male,Unskilled Resident,18640,4894,799,97050,Business Loan,Self-Owned,18,0
40,male,Skilled Employee,68470,21335,701,133750,Consumer Durable Loan,Self-Owned,22,0
38,male,Skilled Employee,97134,29844,804,137550,Vehicle Loan,Self-Owned,48,0
50,male,Skilled Employee,60491,24463,754,311200,Education Loan,Family-Owned,48,0
27,male,Skilled Employee,41341,16618,900,299900,Education Loan,Self-Owned,40,0
39,female,Skilled Employee,84623,33832,715,59400,Business Loan,Self-Owned,21,0
41,male,Highly Skilled,180327,27645,750,315650,Vehicle Loan,Self-Owned,24,0
27,male,Skilled Employee,40338,15121,681,61050,Consumer Durable Loan,Self-Owned,6,0
51,male,Skilled Employee,45895,17330,720,144600,Consumer Durable Loan,Family-Owned,24,1
32,male,Skilled Employee,52254,18472,503,153100,Consumer Durable Loan,Rented,24,0
22,female,Skilled Employee,91860,34620,757,115050,Consumer Durable Loan,Rented,9,1
51,male,Skilled Employee,51344,20670,827,375550,Vehicle Loan,Family-Owned,18,1
22,female,Unskilled Resident,16750,4875,751,62900,Consumer Durable Loan,Rented,12,0
54,male,Skilled Employee,94756,28485,614,35850,Vehicle Loan,Self-Owned,24,0
35,male,Unskilled,17421,3264,655,77450,Vehicle Loan,Self-Owned,9,0
54,male,Skilled Employee,79887,21219,525,79850,Education Loan,Family-Owned,24,1
48,female,Unskilled Resident,40285,13818,798,89750,Consumer Durable Loan,Rented,18,0
24,female,Skilled Employee,45319,17407,639,213600,Consumer Durable Loan,Self-Owned,20,1
35,male,Skilled Employee,55896,12026,717,48800,Consumer Durable Loan,Self-Owned,12,0
24,female,Unskilled,37993,7269,707,373600,Vehicle Loan,Rented,12,0
24,male,Skilled Employee,94539,32985,839,463550,Vehicle Loan,Self-Owned,36,0
26,male,Unskilled Resident,26918,4052,726,29500,Consumer Durable Loan,Self-Owned,6,0
65,male,Skilled Employee,93145,18956,784,46500,Consumer Durable Loan,Self-Owned,12,0
55,male,Highly Skilled,180600,28665,763,464150,Vehicle Loan,Family-Owned,42,0
26,female,Unskilled,39428,7888,828,88900,Vehicle Loan,Rented,15,0
26,male,Skilled Employee,86617,17704,700,45350,Business Loan,Self-Owned,8,0
28,male,Unskilled Resident,39622,10551,869,24200,Consumer Durable Loan,Self-Owned,6,1
24,male,Skilled Employee,67935,18389,561,481450,Vehicle Loan,Self-Owned,36,0
54,male,Skilled Employee,77641,32009,788,152550,Personal Loan,Self-Owned,48,0
46,male,Skilled Employee,69711,21124,650,196550,Vehicle Loan,Family-Owned,48,0
54,female,Skilled Employee,44806,16444,680,371600,Vehicle Loan,Rented,36,0
62,male,Skilled Employee,81360,14745,765,66900,Personal Loan,Self-Owned,6,0
24,female,Skilled Employee,52182,11356,764,77700,Consumer Durable Loan,Rented,6,0
43,male,Highly Skilled,177833,64176,768,792850,Personal Loan,Self-Owned,36,0
26,male,Skilled Employee,96276,15966,609,67250,Consumer Durable Loan,Self-Owned,18,0
27,male,Skilled Employee,59541,17622,835,55050,Vehicle Loan,Self-Owned,12,0
24,male,Skilled Employee,68921,22730,647,150800,Consumer Durable Loan,Self-Owned,12,1
41,male,Skilled Employee,56774,18771,658,135600,Consumer Durable Loan,Self-Owned,36,0
47,male,Unskilled Resident,27045,4242,771,36550,Vehicle Loan,Self-Owned,8,1
35,male,Highly Skilled,127198,31371,697,189000,Consumer Durable Loan,Self-Owned,18,0
30,male,Skilled Employee,48820,16645,744,80100,Vehicle Loan,Self-Owned,21,0
33,female,Skilled Employee,64070,12474,547,198300,Vehicle Loan,Rented,18,1
36,male,Skilled Employee,44232,15862,742,208250,Business Loan,Self-Owned,18,0
47,male,Skilled Employee,51122,19108,737,416750,Vehicle Loan,Family-Owned,36,1
38,male,Skilled Employee,55023,24462,679,334050,Business Loan,Family-Owned,48,1
44,male,Skilled Employee,48007,10223,554,118750,Business Loan,Self-Owned,24,1
23,female,Skilled Employee,57905,23019,702,60800,Vehicle Loan,Rented,18,1
29,male,Skilled Employee,81786,25033,717,590800,Business Loan,Rented,45,0
42,female,Skilled Employee,69398,18184,690,254200,Consumer Durable Loan,Self-Owned,24,0
25,female,Unskilled Resident,16500,3080,573,116350,Consumer Durable Loan,Self-Owned,15,0
48,male,Skilled Employee,46737,17323,847,54100,Vehicle Loan,Self-Owned,12,1
21,female,Skilled Employee,76062,16791,668,44300,Consumer Durable Loan,Self-Owned,12,0
23,female,Unskilled Resident,36469,9533,702,30050,Consumer Durable Loan,Rented,4,1
63,male,Skilled Employee,91571,15453,527,147850,Vehicle Loan,Self-Owned,24,1
46,male,Skilled Employee,65510,25575,847,130550,Consumer Durable Loan,Self-Owned,24,0
29,male,Skilled Employee,59426,22580,682,258950,Consumer Durable Loan,Self-Owned,36,1
28,male,Unskilled Resident,19497,7215,727,149650,Vehicle Loan,Self-Owned,21,1
23,female,Skilled Employee,57850,13874,809,97150,Home Renovation Loan,Self-Owned,18,0
50,male,Skilled Employee,92713,18732,665,77950,Business Loan,Self-Owned,24,0
47,male,Skilled Employee,40614,13860,797,171100,Consumer Durable Loan,Self-Owned,18,0
35,male,Skilled Employee,61776,18461,555,198800,Consumer Durable Loan,Self-Owned,21,0
68,male,Skilled Employee,64077,13038,764,338050,Vehicle Loan,Rented,18,0
28,male,Skilled Employee,49374,17565,845,62450,Vehicle Loan,Self-Owned,24,1
59,male,Skilled Employee,92375,41322,673,68200,Consumer Durable Loan,Self-Owned,9,0
57,male,Unskilled Resident,38522,14413,809,35450,Consumer Durable Loan,Self-Owned,12,0
33,male,Skilled Employee,75435,28061,866,111750,Vehicle Loan,Rented,20,0
43,male,Skilled Employee,70907,30851,699,202100,Vehicle Loan,Self-Owned,24,1
35,male,Skilled Employee,97132,20483,692,73550,Consumer Durable Loan,Family-Owned,15,0
32,male,Unskilled Resident,28409,9081,648,72100,Vehicle Loan,Family-Owned,18,0
45,male,Skilled Employee,56514,25086,679,543750,Vehicle Loan,Self-Owned,36,0
33,male,Skilled Employee,69866,13944,654,73700,Vehicle Loan,Self-Owned,24,0
40,female,Skilled Employee,42983,15477,648,44700,Education Loan,Self-Owned,10,1
28,male,Skilled Employee,71705,23357,815,167150,Consumer Durable Loan,Family-Owned,15,0
29,female,Skilled Employee,60662,19772,656,197950,Vehicle Loan,Self-Owned,15,0
26,male,Skilled Employee,63510,22819,740,178850,Vehicle Loan,Rented,9,1
27,male,Skilled Employee,52651,22581,723,290200,Vehicle Loan,Self-Owned,24,1
28,male,Skilled Employee,80998,31165,839,108450,Business Loan,Self-Owned,18,0
35,female,Skilled Employee,96846,16157,679,121950,Consumer Durable Loan,Self-Owned,24,1
32,male,Unskilled Resident,43535,17667,750,226300,Consumer Durable Loan,Self-Owned,27,0
25,male,Unskilled Resident,21640,4710,783,110500,Consumer Durable Loan,Rented,10,0
20,female,Skilled Employee,84547,22242,839,111050,Consumer Durable Loan,Rented,15,0
27,female,Skilled Employee,94620,27299,678,119450,Consumer Durable Loan,Self-Owned,18,0
42,male,Skilled Employee,55317,16278,670,166550,Consumer Durable Loan,Self-Owned,12,0
37,male,Skilled Employee,90072,25270,635,370450,Business Loan,Self-Owned,36,0
24,female,Skilled Employee,47564,20509,898,32600,Consumer Durable Loan,Rented,12,0
40,female,Skilled Employee,67345,24365,830,383900,Consumer Durable Loan,Self-Owned,36,1
46,male,Skilled Employee,88288,29960,716,67150,Vehicle Loan,Self-Owned,6,0
26,male,Skilled Employee,68687,11330,874,69100,Business Loan,Self-Owned,24,0
24,female,Skilled Employee,97836,41205,711,43700,Personal Loan,Self-Owned,15,0
29,male,Unskilled Resident,28737,12150,777,179500,Consumer Durable Loan,Self-Owned,12,0
40,female,Skilled Employee,49323,18943,720,66100,Vehicle Loan,Self-Owned,11,0
36,male,Highly Skilled,170765,25974,751,97000,Consumer Durable Loan,Family-Owned,18,0
28,male,Skilled Employee,84481,14123,743,179750,Consumer Durable Loan,Self-Owned,36,0
27,male,Highly Skilled,164038,35689,686,71100,Vehicle Loan,Family-Owned,9,0
36,male,Skilled Employee,98082,18577,807,337100,Consumer Durable Loan,Self-Owned,30,0
38,male,Highly Skilled,142393,38396,777,390700,Vehicle Loan,Self-Owned,24,0
48,male,Skilled Employee,40545,17304,802,463850,Vehicle Loan,Family-Owned,24,0
36,male,Skilled Employee,99805,29104,745,109050,Vehicle Loan,Self-Owned,30,0
65,female,Unskilled,19346,2979,647,54900,Consumer Durable Loan,Self-Owned,18,1
43,male,Skilled Employee,69430,16303,856,202850,Consumer Durable Loan,Self-Owned,24,0
53,female,Skilled Employee,49996,8168,698,39750,Education Loan,Self-Owned,12,0
34,male,Skilled Employee,67788,10906,749,141250,Business Loan,Self-Owned,24,0
23,male,Skilled Employee,69969,16282,770,783600,Business Loan,Self-Owned,48,0
34,male,Highly Skilled,138543,32236,748,330700,Vehicle Loan,Self-Owned,36,0
40,male,Skilled Employee,53919,20820,793,391200,Vehicle Loan,Rented,28,0
43,male,Highly Skilled,159346,70502,805,122100,Business Loan,Self-Owned,27,0
46,male,Skilled Employee,70586,18448,702,91450,Consumer Durable Loan,Self-Owned,15,0
38,male,Unskilled Resident,22206,6188,850,108550,Vehicle Loan,Self-Owned,12,0
34,male,Skilled Employee,81773,32990,698,290000,Vehicle Loan,Self-Owned,36,0
29,male,Skilled Employee,56371,12990,746,58450,Consumer Durable Loan,Self-Owned,18,0
31,male,Highly Skilled,135084,26600,688,447350,Vehicle Loan,Self-Owned,36,0
28,female,Highly Skilled,119629,48560,666,130300,Consumer Durable Loan,Rented,21,1
35,female,Skilled Employee,91184,14949,803,79600,Consumer Durable Loan,Self-Owned,12,0
33,female,Unskilled Resident,44148,14829,900,109300,Consumer Durable Loan,Rented,15,0
42,male,Skilled Employee,48436,15431,691,207650,Consumer Durable Loan,Self-Owned,18,0
43,male,Skilled Employee,52984,13446,817,131250,Vehicle Loan,Rented,16,0
44,male,Skilled Employee,73039,17862,693,174250,Vehicle Loan,Self-Owned,20,0
42,male,Skilled Employee,59895,22853,719,523850,Vehicle Loan,Family-Owned,36,0
40,male,Skilled Employee,58155,10231,860,69300,Consumer Durable Loan,Rented,15,0
36,male,Highly Skilled,148606,32847,634,63900,Consumer Durable Loan,Self-Owned,24,0
20,male,Highly Skilled,100616,37201,612,55350,Consumer Durable Loan,Rented,12,1
24,male,Unskilled Resident,19361,6088,713,188150,Vehicle Loan,Self-Owned,21,0
27,male,Skilled Employee,79837,15041,773,185550,Education Loan,Self-Owned,36,0
46,female,Unskilled Resident,32304,13394,757,179700,Vehicle Loan,Self-Owned,15,1
33,female,Unskilled Resident,39574,10607,748,159750,Vehicle Loan,Self-Owned,9,0
34,female,Skilled Employee,43430,17300,722,222700,Consumer Durable Loan,Self-Owned,36,0
25,female,Unskilled Resident,35819,13837,782,236800,Consumer Durable Loan,Self-Owned,24,0
25,female,Skilled Employee,52676,17769,486,149550,Consumer Durable Loan,Self-Owned,30,1
28,male,Skilled Employee,50816,15160,659,107100,Business Loan,Self-Owned,11,0
31,male,Skilled Employee,72733,32283,712,158050,Business Loan,Rented,24,1
32,female,Highly Skilled,175680,33992,776,921200,Personal Loan,Self-Owned,48,0
32,male,Skilled Employee,42050,15455,839,142400,Vehicle Loan,Self-Owned,10,0
68,male,Highly Skilled,199996,41470,649,744800,Vehicle Loan,Self-Owned,6,1
33,male,Skilled Employee,73933,18592,836,117950,Consumer Durable Loan,Self-Owned,24,0
39,male,Highly Skilled,114951,27888,683,167250,Consumer Durable Loan,Rented,24,0
28,female,Skilled Employee,72413,31435,709,90850,Consumer Durable Loan,Self-Owned,18,0
37,male,Highly Skilled,124801,54938,766,637450,Consumer Durable Loan,Self-Owned,48,1
22,female,Skilled Employee,95619,19592,703,68300,Consumer Durable Loan,Rented,9,0
30,male,Skilled Employee,72913,11418,808,100100,Vehicle Loan,Rented,12,0
55,male,Skilled Employee,87037,31855,687,343600,Consumer Durable Loan,Self-Owned,24,0
46,male,Skilled Employee,93540,25760,688,34850,Vehicle Loan,Self-Owned,12,0
21,female,Skilled Employee,80600,14238,804,52450,Consumer Durable Loan,Rented,18,0
39,male,Skilled Employee,97775,34722,658,514850,Vehicle Loan,Family-Owned,48,0
58,male,Skilled Employee,65280,20467,739,93350,Consumer Durable Loan,Self-Owned,30,0
43,male,Unskilled Resident,39557,17569,587,67200,Vehicle Loan,Self-Owned,12,0
24,male,Unskilled Resident,29286,6390,865,87350,Consumer Durable Loan,Self-Owned,24,0
22,female,Skilled Employee,75400,20447,816,83500,Consumer Durable Loan,Self-Owned,9,0
30,male,Skilled Employee,44494,13916,900,61200,Vehicle Loan,Self-Owned,9,0
42,male,Skilled Employee,55152,21371,827,26100,Consumer Durable Loan,Self-Owned,12,1
23,female,Skilled Employee,97208,30586,629,74900,Consumer Durable Loan,Self-Owned,12,0
30,male,Highly Skilled,179431,59906,773,95950,Consumer Durable Loan,Self-Owned,30,0
28,female,Unskilled Resident,24155,5262,646,37250,Consumer Durable Loan,Self-Owned,9,0
30,male,Highly Skilled,187419,75731,846,103150,Consumer Durable Loan,Rented,6,0
42,male,Skilled Employee,83194,23176,631,314400,Education Loan,Family-Owned,60,0
46,male,Highly Skilled,133001,25574,628,342100,Vehicle Loan,Self-Owned,24,1
45,male,Highly Skilled,157364,54960,591,176350,Vehicle Loan,Self-Owned,12,1
31,male,Unskilled Resident,41684,8954,680,77300,Vehicle Loan,Self-Owned,10,0
31,male,Skilled Employee,85028,15242,664,46450,Consumer Durable Loan,Self-Owned,24,0
42,male,Unskilled Resident,24130,9859,619,72750,Vehicle Loan,Self-Owned,4,1
46,female,Skilled Employee,72123,20774,879,92250,Consumer Durable Loan,Rented,15,0
30,female,Skilled Employee,77573,29073,762,417900,Vehicle Loan,Self-Owned,48,0
30,male,Skilled Employee,40806,9678,752,167450,Consumer Durable Loan,Family-Owned,24,0
38,male,Highly Skilled,146638,56615,847,142950,Vehicle Loan,Self-Owned,12,0
43,male,Unskilled Resident,44997,8260,740,76650,Consumer Durable Loan,Self-Owned,18,0
31,male,Skilled Employee,80970,20792,660,181050,Consumer Durable Loan,Self-Owned,24,0
40,male,Unskilled,44757,19846,583,179500,Business Loan,Self-Owned,18,1
24,male,Skilled Employee,74636,28973,655,107250,Business Loan,Self-Owned,36,0
28,female,Skilled Employee,54561,16323,840,205650,Vehicle Loan,Rented,24,0
26,female,Highly Skilled,138280,34837,619,548700,Consumer Durable Loan,Self-Owned,36,0
29,female,Skilled Employee,64262,26452,748,94650,Vehicle Loan,Self-Owned,12,1
57,female,Highly Skilled,170435,53423,802,61550,Consumer Durable Loan,Rented,24,0
49,male,Unskilled Resident,44443,16778,742,182800,Consumer Durable Loan,Self-Owned,30,0
37,male,Unskilled Resident,37074,13948,751,57700,Consumer Durable Loan,Self-Owned,9,0
45,male,Unskilled Resident,39211,6092,772,200300,Vehicle Loan,Self-Owned,28,0
30,male,Skilled Employee,88988,16718,750,153450,Consumer Durable Loan,Family-Owned,24,0
30,male,Skilled Employee,55934,19458,848,87000,Consumer Durable Loan,Rented,6,0
47,male,Skilled Employee,78197,15521,636,117650,Vehicle Loan,Self-Owned,21,1
29,male,Skilled Employee,81844,18549,739,177800,Vehicle Loan,Self-Owned,15,0
35,male,Skilled Employee,76332,33127,574,119850,Consumer Durable Loan,Self-Owned,24,1
22,male,Unskilled Resident,16389,5212,554,22700,Home Renovation Loan,Self-Owned,6,1
26,female,Skilled Employee,51593,19358,713,85750,Consumer Durable Loan,Self-Owned,30,0
